time,open,high,low,close,volume
2025-01-29 20:07:00+00:00,21626.93,21633.93,21626.93,21632.93,0
2025-01-29 20:08:00+00:00,21631.93,21635.93,21627.43,21634.93,0
2025-01-29 20:09:00+00:00,21634.43,21635.93,21631.93,21632.93,0
2025-01-29 20:10:00+00:00,21632.43,21636.93,21628.93,21629.93,0
2025-01-29 20:11:00+00:00,21629.93,21630.43,21623.43,21625.93,0
2025-01-29 20:12:00+00:00,21625.43,21627.93,21623.93,21627.93,0
2025-01-29 20:13:00+00:00,21627.93,21629.93,21625.93,21629.93,0
2025-01-29 20:14:00+00:00,21630.93,21634.93,21629.93,21634.93,0
2025-01-29 20:15:00+00:00,21634.43,21634.43,21629.43,21632.93,0
2025-01-29 20:16:00+00:00,21633.43,21636.93,21632.93,21634.93,0
2025-01-29 20:17:00+00:00,21634.43,21634.93,21631.93,21632.93,0
2025-01-29 20:18:00+00:00,21633.93,21634.93,21630.03,21631.03,0
2025-01-29 20:19:00+00:00,21631.03,21633.03,21630.03,21630.53,0
2025-01-29 20:20:00+00:00,21631.53,21632.13,21629.03,21632.13,0
2025-01-29 20:21:00+00:00,21631.63,21632.13,21629.03,21630.03,0
2025-01-29 20:22:00+00:00,21630.53,21633.13,21629.03,21632.53,0
2025-01-29 20:23:00+00:00,21633.03,21633.03,21628.03,21632.03,0
2025-01-29 20:24:00+00:00,21631.93,21635.93,21628.93,21634.93,0
2025-01-29 20:25:00+00:00,21635.43,21641.43,21635.43,21640.93,0
2025-01-29 20:26:00+00:00,21641.43,21641.93,21639.43,21640.93,0
2025-01-29 20:27:00+00:00,21640.93,21641.93,21638.93,21639.93,0
2025-01-29 20:28:00+00:00,21640.93,21644.93,21639.43,21642.93,0
2025-01-29 20:29:00+00:00,21643.03,21645.03,21641.03,21644.03,0
2025-01-29 20:30:00+00:00,21645.03,21646.53,21642.53,21643.03,0
2025-01-29 20:31:00+00:00,21643.53,21648.03,21643.53,21645.03,0
2025-01-29 20:32:00+00:00,21646.03,21649.03,21646.03,21649.03,0
2025-01-29 20:33:00+00:00,21648.53,21648.53,21641.53,21643.53,0
2025-01-29 20:34:00+00:00,21644.03,21646.03,21642.53,21643.53,0
2025-01-29 20:35:00+00:00,21644.03,21647.63,21644.03,21645.63,0
2025-01-29 20:36:00+00:00,21646.13,21646.23,21642.63,21644.23,0
2025-01-29 20:37:00+00:00,21643.73,21643.73,21640.23,21642.63,0
2025-01-29 20:38:00+00:00,21642.63,21642.63,21636.03,21637.13,0
2025-01-29 20:39:00+00:00,21637.13,21638.13,21633.13,21635.13,0
2025-01-29 20:40:00+00:00,21635.13,21638.13,21634.13,21638.13,0
2025-01-29 20:41:00+00:00,21637.63,21638.03,21634.03,21635.03,0
2025-01-29 20:42:00+00:00,21635.03,21635.03,21631.13,21632.53,0
2025-01-29 20:43:00+00:00,21632.03,21635.13,21631.03,21631.03,0
2025-01-29 20:44:00+00:00,21631.53,21632.13,21631.03,21632.13,0
2025-01-29 20:45:00+00:00,21631.13,21631.63,21628.13,21630.13,0
2025-01-29 20:46:00+00:00,21630.13,21634.13,21629.13,21633.13,0
2025-01-29 20:47:00+00:00,21634.13,21636.13,21633.13,21636.13,0
2025-01-29 20:48:00+00:00,21636.23,21640.73,21636.23,21640.23,0
